PostalCode,Borough,Neighborhood
M1B,Scarborough,Malvern
M1C,Scarborough,Rouge Hill
M1E,Scarborough,Guildwood
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,Kennedy Park
M1L,Scarborough,Golden Mile
M1M,Scarborough,Cliffside
M1N,Scarborough,Birch Cliff
M1P,Scarborough,Dorset Park
M1R,Scarborough,Wexford
M1S,Scarborough,Agincourt
M1T,Scarborough,Clarks Corners
M1V,Scarborough,Milliken
M1W,Scarborough,Steeles West
M1X,Scarborough,Upper Rouge
M2H,North York,Hillcrest Village
M2J,North York,Fairview
M2K,North York,Bayview Village
M2L,North York,York Mills
M2M,North York,Willowdale
M2N,North York,Willowdale
M2P,North York,York Mills West
M2R,North York,Willowdale
M3A,North York,Parkwoods
M3B,North York,Don Mills
M3C,North York,Don Mills
M3H,North York,Bathurst Manor
M3J,North York,Northwood Park
M3K,North York,Downsview
M3L,North York,Downsview
M3M,North York,Downsview
M3N,North York,Downsview
M4A,North York,Victoria Village
M4B,East York,Parkview Hill
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4K,East Toronto,The Danforth West
M4L,East Toronto,India Bazaar
M4M,East Toronto,Studio District
M4N,Central Toronto,Lawrence Park
M4P,Central Toronto,Davisville North
M4R,Central Toronto,North Toronto West
M4S,Central Toronto,Davisville
M4T,Central Toronto,Moore Park
M4V,Central Toronto,Summerhill West
M4W,Downtown Toronto,Rosedale
M4X,Downtown Toronto,St. James Town
M4Y,Downtown Toronto,Church and Wellesley
M5A,Downtown Toronto,Regent Park
M5B,Downtown Toronto,Garden District
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M5H,Downtown Toronto,Richmond
M5J,Downtown Toronto,Harbourfront East
M5K,Downtown Toronto,Toronto Dominion Centre
M5L,Downtown Toronto,Commerce Court
M5M,North York,Bedford Park
M5N,Central Toronto,Roselawn
M5P,Central Toronto,Forest Hill North &amp; West
M5R,Central Toronto,The Annex
M5S,Downtown Toronto,University of Toronto
M5T,Downtown Toronto,Kensington Market
M5V,Downtown Toronto,CN Tower
M5W,Downtown Toronto,Stn A PO Boxes
M5X,Downtown Toronto,First Canadian Place
M6A,North York,Lawrence Manor
M6B,North York,Glencairn
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M6G,Downtown Toronto,Christie
M6H,West Toronto,Dufferin
M6J,West Toronto,Little Portugal
M6K,West Toronto,Brockton
M6L,North York,North Park
M6M,York,Del Ray
M6N,York,Runnymede
M6P,West Toronto,High Park
M6R,West Toronto,Parkdale
M6S,West Toronto,Runnymede
M7A,Downtown Toronto,Queen's Park
M7R,Mississauga,Canada Post Gateway Processing Centre
M7Y,East Toronto,Business reply mail Processing Centre
M8V,Etobicoke,New Toronto
M8W,Etobicoke,Alderwood
M8X,Etobicoke,The Kingsway
M8Y,Etobicoke,Old Mill South
M8Z,Etobicoke,Mimico NW
M9A,Etobicoke,Islington Avenue
M9B,Etobicoke,West Deane Park
M9C,Etobicoke,Eringate
M9L,North York,Humber Summit
M9M,North York,Humberlea
M9N,York,Weston
M9P,Etobicoke,Westmount
M9R,Etobicoke,Kingsview Village
M9V,Etobicoke,South Steeles
M9W,Etobicoke,Northwest
